"sexo","edad","nivel","cond_act","p3_1","p3_2","p3_5","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p11","p25","p35","year","p12_info","p12_prac","p12_entr"
2,19,2,1,1,2,1,1,1,2,2,2,2,0,4,1,2020,2,2,2
2,40,2,7,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,1,2
1,58,4,1,2,1,1,0,0,0,0,0,0,1,1,1,2020,2,1,2
2,21,4,1,1,2,1,4,2,2,2,1,2,0,4,1,2020,2,2,2
2,64,4,1,1,2,1,3,2,2,1,2,2,0,3,1,2020,2,2,2
2,60,4,8,1,2,1,3,2,1,2,1,2,0,4,1,2020,2,2,2
2,22,2,1,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,2,1
1,28,3,1,1,2,2,1,1,2,2,2,2,0,0,1,2020,2,2,2
2,38,2,1,1,1,1,3,2,1,2,1,1,4,4,1,2020,2,1,1
2,66,4,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,50,4,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,37,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,86,2,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,45,2,7,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
2,68,2,3,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,41,2,7,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,34,2,1,2,1,1,0,0,0,0,0,0,4,4,1,2020,2,2,1
1,62,4,1,1,1,1,4,2,2,2,2,1,4,3,1,2020,1,2,1
1,31,4,1,1,1,1,1,2,1,2,2,2,1,1,1,2020,1,2,2
1,43,4,1,1,2,2,4,2,1,2,2,2,0,0,1,2020,2,2,2
2,63,4,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,29,3,1,1,2,1,3,2,2,2,1,2,0,3,1,2020,2,2,2
1,27,2,1,1,1,1,3,2,2,2,2,1,4,3,1,2020,2,2,1
2,29,4,7,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,34,2,1,2,1,1,0,0,0,0,0,0,4,3,1,2020,2,2,1
2,59,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,27,3,7,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,56,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,47,4,7,2,1,1,0,0,0,0,0,0,3,3,1,2020,1,2,2
1,44,4,1,1,1,1,1,2,1,2,2,2,2,1,1,2020,1,2,2
1,54,4,1,2,1,1,0,0,0,0,0,0,3,1,1,2020,1,1,1
2,23,4,6,1,1,1,2,1,1,1,2,1,4,2,1,2020,1,2,2
2,44,4,1,1,2,2,4,2,2,1,1,2,0,0,1,2020,2,2,2
2,71,4,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,27,2,4,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,60,2,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,28,4,1,1,2,1,1,2,1,2,2,2,0,1,1,2020,2,2,2
2,23,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,57,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,33,4,7,1,2,2,4,2,2,2,2,1,0,0,1,2020,2,2,2
1,23,4,1,1,1,1,1,1,2,2,2,2,1,1,1,2020,1,1,1
2,19,3,6,1,2,1,2,2,1,2,2,2,0,2,1,2020,2,2,2
1,22,4,6,1,1,1,2,1,1,2,1,1,4,1,1,2020,2,2,1
1,56,4,1,1,2,2,3,2,2,1,1,1,0,0,1,2020,2,2,2
1,39,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,27,4,5,1,2,1,1,2,1,2,2,1,0,3,1,2020,2,2,2
2,39,4,1,1,1,2,1,1,1,2,2,2,1,0,1,2020,1,2,2
1,30,4,4,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,81,2,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,59,4,4,1,2,2,4,2,2,1,1,1,0,0,2,2020,2,2,2
1,40,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,51,2,7,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,61,4,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,44,4,1,1,1,1,1,2,1,2,2,2,4,4,1,2020,1,1,2
2,82,4,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,19,2,6,1,2,1,2,2,1,2,2,2,0,2,1,2020,2,2,2
2,77,2,8,1,2,2,4,2,2,1,1,1,0,0,1,2020,2,2,2
2,68,2,8,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,75,4,8,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,69,4,8,1,2,2,3,2,2,2,1,1,0,0,1,2020,2,2,2
1,50,4,1,1,1,2,4,2,2,2,1,2,1,0,1,2020,1,2,2
1,21,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,69,2,7,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
2,48,4,8,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,1,1
1,38,2,4,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,27,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,63,4,7,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,33,4,5,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,19,3,6,1,2,1,2,2,1,2,1,2,0,2,1,2020,2,2,2
2,24,4,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,61,3,1,1,2,2,1,1,2,2,2,2,0,0,1,2020,2,2,2
1,48,5,5,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
1,44,4,1,1,2,1,4,2,2,2,1,2,0,4,1,2020,2,2,2
2,48,4,1,1,2,1,3,2,2,2,1,2,0,3,1,2020,2,2,2
2,24,4,1,1,2,1,3,2,1,2,2,2,0,3,1,2020,2,2,2
1,67,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,72,2,7,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,79,3,1,2,1,2,0,0,0,0,0,0,3,0,1,2020,1,2,2
2,26,3,1,1,2,1,3,2,2,2,1,2,0,4,1,2020,2,2,2
1,35,4,1,1,2,2,4,2,2,2,1,2,0,0,1,2020,2,2,2
1,25,2,3,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,24,3,1,1,1,2,2,2,1,2,2,2,3,0,1,2020,1,2,1
1,35,4,1,1,2,2,3,2,2,2,1,2,0,0,1,2020,2,2,2
2,79,2,7,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
2,21,3,4,1,2,2,3,2,2,1,2,2,0,0,1,2020,2,2,2
2,27,3,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,59,4,8,1,1,1,4,2,2,1,2,2,4,2,1,2020,2,2,1
2,59,4,8,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
2,60,4,1,1,2,1,4,2,2,2,1,1,0,2,1,2020,2,2,2
1,60,4,8,1,1,1,3,2,2,2,1,1,4,3,1,2020,1,2,1
1,59,4,1,1,2,2,4,2,2,1,1,2,0,0,1,2020,2,2,2
1,48,4,1,1,2,1,4,2,2,2,1,2,0,3,1,2020,2,2,2
2,29,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,48,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
